Sample	fastp_mqc-generalstats-fastp-pct_duplication	fastp_mqc-generalstats-fastp-after_filtering_q30_rate	fastp_mqc-generalstats-fastp-after_filtering_q30_bases	fastp_mqc-generalstats-fastp-after_filtering_gc_content	fastp_mqc-generalstats-fastp-pct_surviving	fastp_mqc-generalstats-fastp-pct_adapter	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
N_1_1	24.104	0.950724	5932472429.0	0.519911	99.10693188901762	2.1076592870738224	59.72348451393111	52.0	150.0	9.090909090909092	21029751.0
N_1_2							58.51478552671571	51.0	150.0	9.090909090909092	21029751.0
N_2_1	20.4055	0.954232	5387870161.0	0.520847	99.32522004916838	3.9363250214453247	59.14244873168029	52.0	150.0	9.090909090909092	19022794.0
N_2_2							58.77690377312681	52.0	150.0	9.090909090909092	19022794.0
N_3_1	29.4202	0.954165	7479629207.0	0.517018	99.11540445818872	6.106373060637768	65.8183937530784	51.0	150.0	9.090909090909092	26525795.0
N_3_2							62.82426704958853	51.0	150.0	9.090909090909092	26525795.0
Ni1_1	42.5437	0.951911	4696493384.0	0.518924	98.91523489499782	2.8259273200002784	66.68348036946756	51.0	150.0	9.090909090909092	16673748.0
Ni1_2							65.70125893288079	51.0	150.0	9.090909090909092	16673748.0
Ni2_1	30.703000000000003	0.95258	5703199588.0	0.524357	99.17172676728407	8.012526749696582	64.27762139959556	52.0	150.0	9.090909090909092	20287146.0
Ni2_2							63.422195197802935	52.0	150.0	9.090909090909092	20287146.0
Ni3_1	26.9376	0.952736	3851713399.0	0.521276	99.1995537725024	4.300158356522431	57.99332594722058	52.0	150.0	9.090909090909092	13643265.0
Ni3_2							57.25056698868804	52.0	150.0	9.090909090909092	13643265.0
Ni_N1_1	23.433200000000003	0.945608	6273661963.0	0.52281	99.11964453175858	4.197592342077258	62.32020474495556	52.0	150.0	9.090909090909092	22404927.0
Ni_N1_2							60.65905574866059	52.0	150.0	9.090909090909092	22404927.0
Ni_N2_1	24.0705	0.95178	5080705887.0	0.521763	99.18409374642994	2.2515970226805195	59.84991223350838	52.0	150.0	9.090909090909092	17979394.0
Ni_N2_2							58.82921227508747	52.0	150.0	9.090909090909092	17979394.0
Ni_N3_1	21.357400000000002	0.947572	7799340871.0	0.524361	99.25409021362707	2.17693899668448	64.46596874640345	52.0	150.0	9.090909090909092	27700937.0
Ni_N3_2							62.61883927662149	52.0	150.0	9.090909090909092	27700937.0
Ni_SM1_1	37.2747	0.953473	4848118292.0	0.514167	99.167236530138	2.3041816984332715	59.274199656448026	51.0	150.0	9.090909090909092	17129834.0
Ni_SM1_2							58.46673727960076	51.0	150.0	9.090909090909092	17129834.0
Ni_SM2_1	34.9632	0.951097	5539476225.0	0.514464	99.26999984221935	4.6263499788523035	60.390616060218626	51.0	150.0	9.090909090909092	19647530.0
Ni_SM2_2							59.09789969718317	51.0	150.0	9.090909090909092	19647530.0
Ni_SM3_1	74.8371	0.950236	11781350683.0	0.509608	99.07843985194464	2.369390758464005	83.03972215627886	51.0	150.0	9.090909090909092	41813006.0
Ni_SM3_2							81.97397448142834	50.0	150.0	9.090909090909092	41813006.0
