gene_name,Asn_1,Asn_2,Asn_3,Nitrate_1,Nitrate_2,Nitrate_3,Ni_N1,Ni_N2,Ni_N3,Ni_SM1,Ni_SM2,Ni_SM3
Phatr3_J31400,0,2,0,12,9,37,31,38,46,5,3,18
Phatr3_J42422,244,166,373,144,94,153,147,149,195,208,226,462
Phatr3_J31402,0,0,0,0,0,0,0,0,0,0,0,0
Phatr3_J42423,58,96,86,20,49,66,50,32,68,62,76,128
Phatr3_J42424,1340,1085,1560,1268,1587,1101,1743,1760,2489,1346,1659,3226
Phatr3_J7430,449,411,663,330,292,237,447,422,643,468,531,1064
Phatr3_J42426,4824,4638,5604,4268,7311,4548,7187,5753,8822,3331,3893,5654
Phatr3_EG02408,4425,2543,4141,4758,5498,3028,4936,5391,8269,2155,2162,4275
Phatr3_J31409,6752,5099,7413,8389,8870,5115,9227,8384,12049,1867,2186,4476
Phatr3_J42428,718,728,906,759,718,201,648,701,1144,331,428,633
Phatr3_J42429,2018,1611,2532,1394,1518,1476,1512,1557,2341,1291,1333,2220
Phatr3_EG01843,583,393,798,391,377,337,460,499,701,608,636,1496
Phatr3_J42431,284,252,325,177,225,152,239,206,349,628,689,2162
Phatr3_J42432,340,305,440,291,370,207,427,299,424,860,936,1804
Phatr3_J4937,8038,5521,9751,3516,4323,3931,5140,4755,7240,2581,3001,6248
Phatr3_J42434,7418,4955,9705,3091,4223,4088,4946,4161,6811,1969,2243,4215
Phatr3_J9344,1421,627,1703,909,765,818,699,926,1310,675,782,1725
Phatr3_J8866,3635,2322,5073,2623,2637,2600,3753,2904,4279,1611,1684,3938
Phatr3_J42437,111,86,187,77,79,160,93,97,116,340,324,900
Phatr3_J31420,572,476,1041,605,507,537,601,496,748,400,440,1083
Phatr3_J9252,892,866,1103,575,840,603,885,703,1151,1735,1943,3052
Phatr3_J42439,2245,1710,2747,1150,1193,1331,1589,1118,1866,694,704,1311
Phatr3_J31423,277,185,315,246,178,233,220,169,256,179,238,195
Phatr3_J42440,489,417,578,242,374,218,454,323,579,314,341,665
Phatr3_J42441,3381,2513,4213,2373,2162,1030,3027,2557,3147,1882,1835,4648
Phatr3_J42442,8583,5360,9916,4835,6270,4867,7671,5972,8444,5541,6153,11470
Phatr3_J6387,660,517,936,470,502,471,550,475,740,798,928,1443
Phatr3_J42443,1383,816,1467,645,1023,521,1004,788,962,1426,1524,3447
Phatr3_J31429,297,288,284,119,309,198,274,236,358,87,95,113
Phatr3_EG01838,0,0,6,0,1,0,0,0,0,0,0,4
Phatr3_J53929,1286,1026,1697,1139,1237,1367,1500,1091,1951,430,601,911
Phatr3_EG01882,1582,1768,2068,628,672,665,685,662,984,3086,3930,8204
Phatr3_J31431,0,0,0,0,0,0,0,0,0,0,0,0
Phatr3_EG01820,7,11,20,8,13,8,14,3,6,8,2,4
Phatr3_J31432,6,20,26,1,24,14,6,1,4,2,14,0
Phatr3_J31433,1695,1583,2096,4180,831,1273,1449,726,1514,3381,4418,9416
Phatr3_EG01782,0,0,0,0,0,0,0,0,0,0,0,0
Phatr3_J31434,29,85,47,164,83,184,317,67,117,146,244,576
Phatr3_EG02461,451,567,546,545,550,475,638,501,681,395,448,819
Phatr3_J31436,697,522,659,742,864,432,757,768,1193,449,496,1127
Phatr3_J31437,445,436,644,523,542,611,615,579,681,704,888,1547
Phatr3_J42447,284,393,364,504,526,764,681,274,445,7081,8014,14128
Phatr3_EG01815,805,589,982,556,644,580,736,581,1008,489,545,802
Phatr3_J31440,2976,2848,3633,1862,3334,1933,3525,2356,4006,1347,1937,2434
