gene_name,Asn1,Asn2,Nitrate1,Nitrate2,Ni_N1,Ni_N2,Ni_SM1,Ni_SM2
Phatr3_J31400,0,2,12,9,31,38,5,3
Phatr3_J42422,244,166,144,94,147,149,208,226
Phatr3_J31402,0,0,0,0,0,0,0,0
Phatr3_J42423,58,96,20,49,50,32,62,76
Phatr3_J42424,1340,1085,1268,1587,1743,1760,1346,1659
Phatr3_J7430,449,411,330,292,447,422,468,531
Phatr3_J42426,4824,4638,4268,7311,7187,5753,3331,3893
Phatr3_EG02408,4425,2543,4758,5498,4936,5391,2155,2162
Phatr3_J31409,6752,5099,8389,8870,9227,8384,1867,2186
Phatr3_J42428,718,728,759,718,648,701,331,428
Phatr3_J42429,2018,1611,1394,1518,1512,1557,1291,1333
Phatr3_EG01843,583,393,391,377,460,499,608,636
Phatr3_J42431,284,252,177,225,239,206,628,689
Phatr3_J42432,340,305,291,370,427,299,860,936
Phatr3_J4937,8038,5521,3516,4323,5140,4755,2581,3001
Phatr3_J42434,7418,4955,3091,4223,4946,4161,1969,2243
Phatr3_J9344,1421,627,909,765,699,926,675,782
Phatr3_J8866,3635,2322,2623,2637,3753,2904,1611,1684
Phatr3_J42437,111,86,77,79,93,97,340,324
Phatr3_J31420,572,476,605,507,601,496,400,440
Phatr3_J9252,892,866,575,840,885,703,1735,1943
Phatr3_J42439,2245,1710,1150,1193,1589,1118,694,704
Phatr3_J31423,277,185,246,178,220,169,179,238
Phatr3_J42440,489,417,242,374,454,323,314,341
Phatr3_J42441,3381,2513,2373,2162,3027,2557,1882,1835
Phatr3_J42442,8583,5360,4835,6270,7671,5972,5541,6153
Phatr3_J6387,660,517,470,502,550,475,798,928
Phatr3_J42443,1383,816,645,1023,1004,788,1426,1524
Phatr3_J31429,297,288,119,309,274,236,87,95
Phatr3_EG01838,0,0,0,1,0,0,0,0
Phatr3_J53929,1286,1026,1139,1237,1500,1091,430,601
Phatr3_EG01882,1582,1768,628,672,685,662,3086,3930
Phatr3_J31431,0,0,0,0,0,0,0,0
Phatr3_EG01820,7,11,8,13,14,3,8,2
Phatr3_J31432,6,20,1,24,6,1,2,14
Phatr3_J31433,1695,1583,4180,831,1449,726,3381,4418
Phatr3_EG01782,0,0,0,0,0,0,0,0
Phatr3_J31434,29,85,164,83,317,67,146,244
Phatr3_EG02461,451,567,545,550,638,501,395,448
Phatr3_J31436,697,522,742,864,757,768,449,496
Phatr3_J31437,445,436,523,542,615,579,704,888
Phatr3_J42447,284,393,504,526,681,274,7081,8014
Phatr3_EG01815,805,589,556,644,736,581,489,545
Phatr3_J31440,2976,2848,1862,3334,3525,2356,1347,1937
Phatr3_J17166,1337,1153,1296,1262,1530,1336,1316,1502
Phatr3_J31442,267,302,268,353,514,312,1444,1310
Phatr3_J42451,77,96,34,43,261,54,286,311
Phatr3_J42452,485,565,174,189,276,205,255,241
Phatr3_EG02462,6417,4759,5275,5527,6402,5400,3341,4085
Phatr3_EG02453,678,638,582,716,775,607,705,861
Phatr3_J31447,1169,1087,1181,1223,1389,984,1268,1485
Phatr3_J17172,565,1314,242,415,646,283,707,807
Phatr3_EG02409,1921,1633,1480,1859,2023,1719,1329,1630
Phatr3_J9359,715,783,650,1140,1037,844,385,438
Phatr3_J42457,758,810,1313,1809,1833,1321,3210,3551
Phatr3_J31453,117,42,181,181,150,174,52,100
Phatr3_J42458,1969,2223,2068,3301,3361,2805,665,857
Phatr3_J42459,689,498,552,562,720,691,684,755
Phatr3_J8760,497,497,353,416,655,485,3438,3503
Phatr3_J42461,328,230,176,222,259,247,504,590
Phatr3_J31458,272,233,201,207,313,236,211,264
Phatr3_EG01752,623,494,291,490,548,457,334,391
Phatr3_J53933,1818,1042,1276,1359,1350,1462,848,994
Phatr3_J42464,875,816,291,338,351,409,511,514
Phatr3_J17184,962,750,692,826,837,900,673,714
Phatr3_J42466,406,321,257,366,431,333,651,725
Phatr3_EG02454,5448,3762,3927,3909,4795,3743,12015,11795
Phatr3_J31465,771,928,344,659,698,663,489,516
Phatr3_EG02455,34,22,44,45,88,29,322,305
Phatr3_EG02451,496,377,516,516,694,419,258,313
Phatr3_J8934,515,459,279,366,561,461,698,862
Phatr3_J31469,366,279,359,264,322,346,224,284
Phatr3_EG02456,3731,3735,3270,4180,4176,4038,2356,2749
Phatr3_J42473,381,353,304,423,409,374,446,609
Phatr3_J42474,399,207,212,139,109,183,2870,2798
Phatr3_J17198,3076,3294,1569,2853,2772,2727,1520,1846
Phatr3_J31474,7544,4382,3958,4059,4084,5601,2078,2020
Phatr3_EG02407,4099,2704,3462,3221,3346,3818,3088,3495
Phatr3_J42479,351,852,266,553,892,288,1684,1909
Phatr3_J42481,724,675,711,768,788,626,1065,1163
Phatr3_J17199,3278,3348,1556,2070,2318,2180,10027,10644
Phatr3_J42483,2834,2250,2325,2384,2542,3256,808,1001
Phatr3_J42484,783,613,658,764,820,718,829,934
Phatr3_J53935,3942,2720,4765,8398,7189,5366,885,1308
Phatr3_J9462,5231,4266,7306,8083,9433,7236,8971,10310
Phatr3_J42487,1536,1828,1282,1750,1921,1206,871,1215
Phatr3_J31486,360,253,390,289,288,375,1211,1393
Phatr3_J42488,1430,1480,1030,1363,1937,1238,6558,7028
Phatr3_J9007,499,340,446,480,479,486,291,277
Phatr3_J9033,1370,1100,1180,1234,1269,1269,1709,1973
Phatr3_J3311,854,839,468,811,825,528,1813,1847
Phatr3_J9319,1441,981,850,1004,1054,969,791,939
Phatr3_J31492,983,553,496,427,466,646,660,775
Phatr3_J17215,561,507,466,695,588,527,513,469
Phatr3_J31494,312,289,282,346,217,282,110,144
Phatr3_J42494,3390,3935,2049,7528,6507,3936,717,819
Phatr3_EG01836,0,1,2,6,1,0,0,1
Phatr3_J42495,1174,1230,393,508,616,566,369,395
Phatr3_J42496,1083,872,699,925,947,767,399,615
Phatr3_J42497,3813,2042,2700,2548,2959,2697,1573,1638
Phatr3_EG01753,11,9,6,10,10,6,3,10
Phatr3_J42498,1307,911,491,821,827,671,1500,1998
Phatr3_EG01826,1291,895,846,637,724,791,2056,2084
Phatr3_J42500,1027,908,511,624,850,767,2052,2189
Phatr3_J42501,1788,1514,834,1389,1381,1037,2759,3581
Phatr3_EG01854,0,0,0,0,0,0,0,0
Phatr3_EG01855,0,0,0,0,0,0,0,0
Phatr3_J42502,110,83,71,82,68,73,82,84
Phatr3_J42503,900,972,666,742,893,823,405,542
Phatr3_J8683,143,117,255,77,101,63,695,732
Phatr3_J42504,543,669,862,1438,1426,1140,494,667
Phatr3_EG01833,0,0,0,0,0,0,0,0
Phatr3_J42505,2574,1951,1382,2065,2044,1972,1138,1265
Phatr3_J31508,552,472,249,442,471,350,207,258
Phatr3_EG02200,5,6,5,2,2,4,9,5
Phatr3_EG02192,16785,14546,21037,21037,24930,16335,5101,6722
